Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$135,051,123,170",1.47%,16.17,0,-28.23,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$133,467,552,892",2.85%,0,0,0,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"$132,934,494,559",1.03%,0,0,0,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$130,920,150,647",1.99%,0,0,0,Analyze
COP,ConocoPhillips,Common stocks,Large cap,Energy,"$129,605,125,700",1.76%,0,0,0,Analyze
ANTM,Anthem Inc,Common stocks,Large cap,Health Care,"$129,066,067,317",0.91%,0,0,0,Analyze
DE,Deere & Company,Common stocks,Large cap,Industrials,"$128,766,585,572",0.96%,0,0,0,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$126,504,649,207",0.57%,0,0,0,Analyze
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$126,111,781,832",0.00%,0,0,0,Analyze
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$124,618,017,987",2.29%,19.8,1.86,11.41,Analyze
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$122,374,249,223",1.61%,0,0,0,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$117,335,810,144",2.07%,0,0,0,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$116,126,940,652",2.00%,0,0,0,Analyze
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$113,295,072,036",5.11%,0,0,0,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$108,988,554,309",2.39%,0,0,0,Analyze
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$108,061,652,343",2.25%,0,0,0,Analyze
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$106,975,797,471",1.45%,0,0,0,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$105,152,460,991",0.00%,0,0,0,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"$104,073,040,124",0.00%,0,0,0,Analyze
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$102,042,000,000",0.00%,0,0,0,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$101,201,689,844",1.05%,0,0,0,Analyze
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$99,802,285,460",0.00%,48.82,17.48,8.61,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"$99,718,234,818",4.01%,0,0,0,Analyze
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$99,535,868,267",6.31%,0,0,0,Analyze
SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$99,116,051,057",1.01%,0,0,0,Analyze
GE,General Electric,Common stocks,Large cap,Industrials,"$98,938,969,380",0.36%,0,0,0,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$97,055,658,931",1.69%,0,0,0,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$94,994,161,002",0.86%,0,0,0,Analyze
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$91,782,437,000",2.34%,0,0,0,Analyze
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$90,836,012,894",1.48%,0,0,0,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$89,575,064,909",0.00%,0,0,0,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$88,861,796,481",3.35%,0,0,0,Analyze
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$88,655,928,980",0.57%,0,0,0,Analyze
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$88,062,703,093",2.13%,0,0,0,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$84,833,774,908",1.56%,0,0,0,Analyze
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$84,776,366,654",1.26%,0,0,0,Analyze
MMM,3M,Common stocks,Large cap,Industrials,"$84,567,561,645",3.94%,0,0,0,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$84,046,720,887",2.85%,0,0,0,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$81,375,502,715",1.81%,0,0,0,Analyze
CI,Cigna Corp,Common stocks,Large cap,Health Care,"$81,128,765,983",1.61%,0,0,0,Analyze
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$80,355,347,030",0.42%,0,0,0,Analyze
SO,Southern Co,Common stocks,Large cap,Utilities,"$80,089,516,382",3.44%,0,0,0,Analyze
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$78,793,579,593",0.76%,0,0,0,Analyze
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$77,277,038,800",4.56%,0,0,0,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$76,654,678,507",1.23%,0,0,0,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$75,673,129,116",0.00%,0,0,0,Analyze
USB,US Bancorp,Common stocks,Large cap,Financials,"$75,469,661,144",3.50%,0,0,0,Analyze
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$75,217,250,120",3.51%,0,0,0,Analyze
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$75,079,902,415",0.00%,0,0,0,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$74,964,947,091",1.10%,0,0,0,Analyze
